date,ticker,price,sig_momentum,sig_curve,sig_inventories,sig_hormuz,sig_bab,sig_spare,hormuz_level,risk_score,weight_available,daily_dir,daily_center,daily_low,daily_high,weekly_dir,weekly_center,weekly_low,weekly_high,stale_signals
2026-07-19,BZ=F,88.1,67.8,95.2,81.3,95.0,65.3,100.0,Disrupted,84.4,1.0,up,89.1,86.19,92.01,up,90.34,83.83,96.85,
2026-07-20,BZ=F,89.1,65.6,100.0,81.3,95.0,65.3,100.0,Disrupted,85.2,1.0,up,90.14,87.19,93.08,up,91.42,84.83,98.0,
2026-07-21,BZ=F,91.56,71.5,100.0,81.3,95.0,48.1,100.0,Disrupted,84.6,1.0,up,92.59,89.61,95.57,up,93.86,87.2,100.52,
2026-07-22,BZ=F,95.77,76.0,100.0,77.7,95.0,48.1,100.0,Disrupted,84.8,1.0,up,96.89,93.68,100.09,up,98.27,91.09,105.44,
2026-07-23,BZ=F,100.57,81.2,100.0,77.7,95.0,48.1,100.0,Disrupted,85.8,1.0,up,101.74,98.47,105.0,up,103.18,95.88,110.48,
2026-07-24,BZ=F,98.38,78.9,100.0,77.7,95.0,48.1,100.0,Disrupted,85.4,1.0,up,99.55,96.24,102.87,up,101.0,93.59,108.42,
2026-07-25,BZ=F,96.78,77.1,100.0,77.7,95.0,48.1,100.0,Disrupted,85.0,1.0,up,97.96,94.59,101.32,up,99.41,91.89,106.94,
2026-07-26,BZ=F,91.25,57.4,100.0,77.7,95.0,48.1,100.0,Disrupted,81.1,1.0,up,92.27,88.98,95.56,up,93.54,86.18,100.9,
2026-07-27,BZ=F,87.83,37.6,100.0,77.7,95.0,48.1,100.0,Disrupted,77.1,1.0,up,88.79,85.25,92.33,up,89.97,82.06,97.88,
2026-07-28,BZ=F,86.31,24.7,100.0,77.7,95.0,86.6,100.0,Disrupted,78.4,1.0,up,87.3,83.82,90.77,up,88.52,80.75,96.29,
2026-07-29,BZ=F,90.4,34.8,100.0,84.9,95.0,86.6,100.0,Disrupted,81.8,1.0,up,91.67,87.68,95.67,up,93.24,84.31,102.17,
2026-07-30,BZ=F,89.45,20.9,100.0,84.9,95.0,86.6,100.0,Disrupted,79.1,1.0,up,90.6,86.64,94.57,up,92.03,83.16,100.9,
2026-07-31,BZ=F,90.12,25.1,100.0,84.9,95.0,86.6,100.0,Disrupted,79.9,1.0,up,91.32,87.31,95.33,up,92.8,83.84,101.76,
